team,key_player_note
Haiti,"Wilson Isidor (Sunderland) — forward, Premier League"
Haiti,Lenny Joseph (Ferencvaros) — forward
Haiti,Duckens Nazon — experienced forward
Iran,"Mehdi Taremi (Olympiacos) — captain and main attacking reference, 10 goals in qualifying"
Iran,Alireza Jahanbakhsh (n/a) — experienced winger and leader
Iran,Alireza Beiranvand (n/a) — veteran goalkeeper
Iran,Saeid Ezatolahi (n/a) — defensive midfield anchor
Iran,Ramin Rezaeian (n/a) — experienced full-back
Iraq,"Mohanad Ali (Dibba Al-Fujairah) — main striker, 70 caps and 27 international goals"
Iraq,Ali Al-Hamadi (Ipswich Town) — Europe-based forward providing attacking depth
Iraq,"Zidane Iqbal (FC Utrecht) — creative midfielder, ex-Manchester United youth"
Iraq,Amir Al-Ammari (Cracovia) — midfield engine
Iraq,"Jalal Hassan (Al-Zawraa) — captain and goalkeeper, 35, 100 caps"
Ivory Coast,"Amad Diallo (Manchester United) — electric two-footed winger, key creative threat"
Ivory Coast,"Franck Kessie (Al-Ahli) — midfield commander, crucial to control"
Ivory Coast,Ibrahim Sangare (Nottingham Forest) — physical defensive midfielder
Ivory Coast,Yan Diomande (RB Leipzig) — highly coveted young forward
Ivory Coast,Evan Ndicka / Ousmane Diomande — defensive stability that conceded zero goals in qualifying
Japan,Takefusa Kubo (Real Sociedad) — primary attacking threat with creativity and dribbling
Japan,Wataru Endo (Liverpool) — captain and midfield anchor
Japan,Daichi Kamada (Crystal Palace) — creative midfielder
Japan,Ao Tanaka (Leeds United) — energetic central midfielder
Japan,"Daizen Maeda (Celtic) — forward/winger, 14 league goals this season"
Jordan,"Mousa Al-Tamari (Rennes) — captain and main attacking threat, 7 goals & 11 assists in Ligue 1 this season"
Jordan,"Ali Olwan (striker) — qualifying hero with hat-trick vs Oman, racing back from ankle surgery"
Jordan,Yazan Al-Arab (defender) — defensive leader
Jordan,Nour Al-Rawabdeh — midfield contributor
Jordan,Abdullah Nasib — goalkeeper
Mexico,Guillermo Ochoa (AEL Limassol) — veteran goalkeeper named to a record sixth World Cup squad
Mexico,Raul Jimenez (Fulham) — experienced striker leading the line
Mexico,Santiago Gimenez (AC Milan) — forward who battled injury problems at Milan late in the season but made the final squad
Mexico,Edson Alvarez (Fenerbahce) — midfield anchor and key leader
Mexico,"Gilberto Mora (Club Tijuana) — 17-year-old midfielder, youngest player in the squad and a breakout talent"
Morocco,"Achraf Hakimi (PSG) — captain, named CAF African Player of the Year after a treble-winning PSG season"
Morocco,Brahim Diaz (Real Madrid) — won the AFCON Golden Boot with five goals but missed a key penalty in the final
Morocco,Bilal El Khannouss (Stuttgart) — provides creativity and technical control in midfield
Morocco,Sofyan Amrabat (Real Betis) — anchors the midfield
Morocco,Yassine Bono (goalkeeper) — experienced number one
Netherlands,Virgil van Dijk (Liverpool) — captain and defensive leader
Netherlands,"Frenkie de Jong (Barcelona) — midfield metronome, taking on more creative load after Xavi Simons injury"
Netherlands,Cody Gakpo (Liverpool) — primary attacking outlet
Netherlands,Tijjani Reijnders — double-pivot midfielder shouldering extra creative responsibility
Netherlands,"Memphis Depay (Corinthians) — all-time leading scorer (55 goals), pursuing possibly his last World Cup"
New Zealand,"Chris Wood (Nottingham Forest) — captain and all-time top scorer (45 goals), 9 goals in qualifying"
New Zealand,"Tommy Smith (Braintree Town) — veteran defender, one of two survivors from the 2010 World Cup"
New Zealand,"Lachlan Bayliss (Newcastle Jets) — young midfielder, selected via paternal heritage two months after his debut"
Norway,"Erling Haaland (Manchester City) — talisman striker; 16 goals in qualifying, double his nearest rival"
Norway,"Martin Odegaard (Arsenal) — captain and creative hub, Premier League title winner"
Norway,Alexander Sorloth (Atletico Madrid) — prolific secondary striker
Norway,Antonio Nusa (RB Leipzig) — dynamic young winger
Norway,Jorgen Strand Larsen (Crystal Palace) — additional attacking option
Panama,"Adalberto Carrasquilla (Pumas UNAM) — creative midfield hub, regarded as one of CONCACAF's best midfielders"
Panama,"Anibal Godoy (San Diego FC) — captain and record cap-holder (157+ caps), defensive midfield anchor"
Panama,Jose Fajardo (forward) — joint top scorer in qualifying with 3 goals
Panama,Cecilio Waterman (striker) — qualifying goalscorer and attacking threat
Panama,Amir Murillo (defender) — experienced full-back and veteran leader
Paraguay,"Gustavo Gomez (Palmeiras) — captain, 88+ caps, experienced former AC Milan centre-back and defensive leader"
Paraguay,"Julio Enciso (Strasbourg) — creative attacker, fitness doubt after Nicaragua friendly"
Paraguay,"Diego Gomez (Brighton & Hove Albion) — Premier League midfielder, key engine"
Paraguay,Antonio Sanabria (Torino) — experienced Serie A centre-forward
Paraguay,Omar Alderete (Charlotte FC) — established defender
Portugal,"Cristiano Ronaldo (Al-Nassr) — captain, 41, leading the line at a record sixth World Cup"
Portugal,"Bruno Fernandes (Manchester United) — talismanic midfielder, named FWA Player of the Year"
Portugal,Vitinha (Paris Saint-Germain) — midfield engine arriving on a Champions League high
Portugal,Nuno Mendes (Paris Saint-Germain) — among the best left-backs in the world after a trophy-laden 2024-25
Portugal,"Rafael Leao (AC Milan) — explosive forward, but sent off in the Chile warm-up"
Qatar,"Akram Afif (Al Sadd) — two-time Asian Player of the Year, creative hub"
Qatar,"Almoez Ali (Al Duhail) — all-time top scorer; 12 goals in Asian qualifying, top scorer"
Qatar,"Hassan Al-Haydos (Al Sadd) — captain and veteran leader, came out of retirement"
Qatar,Boualem Khoukhi — experienced defender
Qatar,Abdelkarim Hassan — defender
Saudi Arabia,"Salem Al-Dawsari (Al-Hilal) — captain and 2025 AFC Player of the Year, talisman who scored the famous winner against Argentina in 2022"
Saudi Arabia,"Saud Abdulhamid (RC Lens) — right-back, the only squad member playing outside the Saudi domestic league"
Saudi Arabia,Feras Al-Buraikan (Al-Ahli) — striker who scored five goals in qualifying
Saudi Arabia,"Abdullah Al-Hamddan — forward, scored in the Puerto Rico warm-up win"
Saudi Arabia,Sultan Mandash — scored in the Puerto Rico warm-up win
Scotland,"Scott McTominay (Napoli) — talisman, fresh off a strong season; described as reaching an incredible level"
Scotland,Andy Robertson (Liverpool) — experienced left-back and leader
Scotland,John McGinn (Aston Villa) — midfield driving force
Scotland,Billy Gilmour (Napoli) — controls midfield tempo
Scotland,"Che Adams (Torino) — forward, scored a brace in the Bolivia warm-up"
Senegal,"Sadio Mane (Al-Nassr) — attacking talisman, scored a double against Mauritania to seal qualification"
Senegal,Kalidou Koulibaly (Al-Hilal) — captain and defensive leader
Senegal,Edouard Mendy (Al-Ahli) — first-choice goalkeeper
Senegal,Idrissa Gana Gueye (Everton) — veteran midfield anchor
Senegal,Nicolas Jackson (Chelsea) — forward providing European-club firepower
South Africa,"Ronwen Williams (Mamelodi Sundowns) — captain and goalkeeper, most-capped player in the group (62 caps)"
South Africa,Lyle Foster (Burnley) — striker who scored in the final warm-up vs Jamaica
South Africa,Teboho Mokoena (Mamelodi Sundowns) — central midfield linchpin
South Africa,Relebohile Mofokeng (Orlando Pirates) — attacking No.10
South Africa,"Oswin Appollis — wide attacker, likely on the left"
South Korea,"Son Heung-min (LAFC) — captain, gearing up for his fourth World Cup at age 33"
South Korea,"Lee Kang-in (Paris Saint-Germain) — creative midfielder; limited starts at PSG but top assist provider in qualifying (5 goals, 6 assists in 15 games)"
South Korea,Kim Min-jae (Bayern Munich) — center-back; third choice at club but a defensive leader who dominated aerial duels in qualifying
South Korea,Cho Gue-sung (Midtjylland) — forward
South Korea,Oh Hyeon-gyu (Besiktas) — forward
Spain,"Lamine Yamal (FC Barcelona) — star winger, Euro 2024 champion, dazzling club season though carrying a minor knock into camp"
Spain,"Rodri (Manchester City) — captain and 2024 Ballon d'Or winner, midfield anchor and most-capped player in the squad"
Spain,Pedri (FC Barcelona) — chief playmaker providing vision and tempo control
Spain,"Nico Williams (Athletic Club) — pacey winger, one of the squad's attacking outlets"
Spain,Mikel Merino (Arsenal) — versatile midfielder coming off a strong Premier League campaign
Sweden,"Alexander Isak (Liverpool) — forward, focal point of the attack"
Sweden,Viktor Gyokeres (Arsenal) — forward; scored a hat-trick in the playoff semifinal vs Ukraine
Sweden,"Victor Lindelof (Aston Villa) — captain, 75+ caps, defensive leader"
Sweden,"Gustaf Nilsson — forward, scored in the final warm-up vs Greece"
Switzerland,"Granit Xhaka (Sunderland) — captain, fourth straight World Cup; standout 2025-26 season after summer move to Sunderland"
Switzerland,Manuel Akanji (Inter Milan) — defensive leader
Switzerland,"Dan Ndoye — in-form attacker, scored in warm-up vs Australia"
Switzerland,Ruben Vargas — attacking option
Switzerland,Remo Freuler — midfield anchor alongside Xhaka
Tunisia,Ellyes Skhiri (Eintracht Frankfurt) — captain and midfield leader
Tunisia,"Hannibal Mejbri (Burnley) — energetic midfielder, key to the engine room"
Tunisia,"Elias Achouri (FC Copenhagen) — creative midfielder, Tunisia's engine"
Tunisia,"Montassar Talbi — central defender, anchor of the record clean-sheet qualifying defense"
Tunisia,"Aymen Dahmene — goalkeeper, part of the unbeaten-clean-sheet qualifying run"
Turkey,Arda Guler (Real Madrid) — attacking centerpiece and creative talisman; recovering from a femoral biceps muscle injury
Turkey,"Kenan Yildiz (Juventus) — emerging attacking star, one of Europe's brightest young talents"
Turkey,Hakan Calhanoglu (Inter Milan) — captain and playmaker; managed a soleus strain late in the season but named in squad
Turkey,"Kerem Akturkoglu — forward, scored the decisive playoff-final goal vs Kosovo"
Turkey,Orkun Kokcu — central midfielder providing control
United States,"Christian Pulisic (AC Milan) — talisman captain, 84 caps and 32 goals, strong Serie A season"
United States,"Weston McKennie (Juventus) — versatile midfield engine, regular for Juventus"
United States,Folarin Balogun (Monaco) — first-choice striker option after Ligue 1 spell
United States,"Antonee Robinson (Fulham) — attacking left-back, established Premier League starter"
United States,Gio Reyna (Borussia Monchengladbach) — included after move to Gladbach revived form
Uruguay,"Federico Valverde (Real Madrid) — midfield centerpiece and occasional captain, all-action driving force"
Uruguay,Ronald Araujo (Barcelona) — central defender and squad leader
Uruguay,Jose Maria Gimenez (Atletico Madrid) — primary captain and defensive organizer
Uruguay,Darwin Nunez (Al-Hilal) — main striker leading the line
Uruguay,Rodrigo Bentancur (Tottenham) — midfield engine alongside Valverde
Uzbekistan,"Abdukodir Khusanov (Manchester City) — 22-year-old defender, the only squad member at the top level of European football"
Uzbekistan,Eldor Shomurodov (Istanbul Basaksehir) — captain and all-time top scorer (44 international goals)
